55,2,1499680494942
29,2,1499680744893
36,0,1499680768172
2,0,1499680770119
60,0,1499738500582
62,0,1499738501205
49,0,1499738501970
78,0,1499738502537
3,0,1499738503112
48,0,1499738503626
80,0,1499738504130
43,0,1499738504607
64,0,1499738505062
11,0,1499738505845
6,0,1499738506261
63,0,1499738506758
74,0,1499738507193
64,0,1499738507648
32,0,1499738508114
51,0,1499738508520
90,0,1499738509022
56,0,1499738509507
53,0,1499738509973
25,0,1499738510468
22,0,1499738510932
81,0,1499738511389
25,0,1499738511847
61,0,1499738512292
86,0,1499738512707
20,0,1499738513609
86,0,1499738514168
59,0,1499738514629
35,0,1499738515126
50,0,1499738515872
14,0,1499738516165
53,0,1499738516386
23,0,1499738516593
32,0,1499738516794
77,0,1499738516977
34,0,1499738517200
62,0,1499738517398
58,0,1499738517583
68,0,1499738517791
75,0,1499738518010
19,0,1499738518215
10,0,1499738518424
11,0,1499738518632
87,0,1499738518861
37,0,1499738519071
33,0,1499738519267
28,0,1499738519484
73,0,1499738519701
76,0,1499738519922
31,0,1499738520128
10,0,1499738520375
75,0,1499738520564
52,0,1499738520763
62,0,1499738520990
84,0,1499738521192
5,0,1499738521396
13,0,1499738521587
79,0,1499738521803
68,0,1499738522014
17,0,1499738522232
14,0,1499738522442
48,0,1499738522661
41,0,1499738522870
32,0,1499738523085
74,0,1499738523318
48,0,1499738523531
53,0,1499738523735
3,0,1499738523936
87,0,1499738524155
88,0,1499738524358
77,0,1499738524583
62,0,1499738524797
46,0,1499738525022
73,0,1499738525233
62,0,1499738525451
18,0,1499738525699
60,0,1499738525898
80,0,1499738647149
57,1,1499738768461
5,1,1499738768584
72,2,1499738769214
42,パス,1499738928712
36,パス,1499738928884
35,パス,1499738929054
80,パス,1499738929222
59,パス,1499738929382
2,パス,1499738929557
21,パス,1499738929739
19,パス,1499738929907
83,pass,1499738993129
78,pass,1499738993507
45,pass,1499738993683
64,pass,1499738993858
50,pass,1499738994048
19,pass,1499738994223
68,pass,1499738994389
27,pass,1499738994566
73,pass,1499738994741
2,pass,1499738994888
83,pass,1499738995070
69,pass,1499738995275
30,0,1499740163506
29,0,1499740165989
34,0,1499740166602
25,0,1499740166879
72,0,1499740167077
27,0,1499740167260
23,1,1499740167874
50,1,1499740168114
43,1,1499740168289
54,1,1499740168465
85,0,1499740304443
71,0,1499740377924
83,1,1499740380976
80,1,1499740381501
57,0,1499740382114
39,1,1499740382903
13,0,1499740444545
10,1,1499740445347
7,2,1499740446047
18,3,1499740447041
1,2,1499740447792
17,1,1499740448318
13,0,1499740448902
6,pass,1499740450770
3,pass,1499740451728
2,pass,1499740451926
17,pass,1499740452107
20,pass,1499740453064
3,pass,1499740453224
23,pass,1499740454166
9,pass,1499740455655
12,3,1499740456254
1,2,1499740456925
11,1,1499740457510
15,0,1499740458037
9,0,1499740461754
18,1,1499740462513
6,2,1499740463099
21,3,1499740463685
20,pass,1499740479229
10,pass,1499740479406
16,pass,1499740480235
24,pass,1499740480403
12,pass,1499740480582
19,pass,1499740480780
18,pass,1499740480952
4,pass,1499740481108
23,pass,1499740482049
8,pass,1499740482821
5,pass,1499740628665
21,pass,1499740628888
2,pass,1499740629976
8,pass,1499740630785
11,pass,1499740630954
6,pass,1499740631144
26,pass,1499740631314
7,pass,1499740632284
24,pass,1499740633064
12,pass,1499740633955
13,pass,1499740634532
9,pass,1499740634700
8,pass,1499740635598
15,pass,1499740635764
9,pass,1499740636635
21,pass,1499740637526
20,pass,1499740643779
16,pass,1499740643936
36,pass,1499740644090
26,pass,1499740644251
5,pass,1499740644412
32,pass,1499740644572
5,pass,1499740644726
12,pass,1499740644865
7,pass,1499740645018
4,pass,1499740645171
32,pass,1499740645332
16,pass,1499740645500
9,pass,1499740645660
26,pass,1499740645829
37,pass,1499740652823
29,pass,1499740653554
5,pass,1499740656746
8,pass,1499740656927
6,pass,1499740657212
10,pass,1499740657374
21,pass,1499740657526
12,pass,1499740658549
33,pass,1499740658741
28,0,1499742065923
22,0,1499742066702
31,1,1499742067128
7,0,1499744030292
24,0,1499744031956
17,0,1499744033406
31,0,1499744034864
23,0,1499744036249
16,0,1499746917522
14,0,1499746993546
36,0,1499747002249
21,0,1499747007836
6,0,1499747009769
9,0,1499747011776
35,0,1499747030869
15,0,1499747040894
1,pass,1499747137674
11,0,1499747152994
24,2,1499747161623
17,0,1499747183250
6,0,1499747199749
25,2,1499747211272
2,3,1499747230233
34,0,1499747239493
1,0,1499747263197
25,pass,1499747316014
14,0,1499747324111
33,0,1499747334156
37,0,1499747355696
32,3,1499747366247
32,1,1499747407507
19,2,1499748078206
29,0,1499748129491
17,0,1499748135377
11,0,1499748140408
5,0,1499748144866
5,0,1499748149248
15,0,1499748150224
32,3,1499748170776
8,1,1499748191795
31,2,1499748207630
1,0,1499748388462
20,0,1499748396625
34,0,1499748408248
16,0,1499748416370
7,1,1499748428931
12,0,1499748450932
13,0,1499748456624
19,1,1499748471800
22,pass,1499748487803
26,pass,1499748488618
16,pass,1499748495200
1,pass,1499748497061
27,pass,1499748497899
19,0,1499748503044
19,pass,1499748504394
15,pass,1499748505177
11,pass,1499748505862
3,pass,1499748507314
12,pass,1499748508197
24,pass,1499748509554
22,0,1499748515171
9,pass,1499748526528
8,2,1499748542415
1,0,1499748666499
2,2,1499748675327
17,0,1499748680359
21,0,1499748684302
5,1,1499748697907
23,0,1499748703748
