70,1499738361926
5,1499738362607
2,1499738363183
1,1499738392582
4,1499738393440
5,1499738394334
2,1499738395198
5,1499738396009
2,1499738396754
1,1499738403569
1,1499738429572
61,1499738430344
12,1499738431104
91,1499738431779
67,1499738432313
39,1499738432913
64,1499738433555
11,1499738434355
86,1499738434745
78,1499738435417
20,1499738436031
38,1499738436548
13,1499738447840
12,1499738448932
58,1499738450072
6,1499738451042
90,1499738451781
85,1499738452651
35,1499738453729
27,1499738454777
65,1499738455778
39,1499738457020
84,1499738464633
25,1499738466897
21,1499738468323
49,1499738470769
56,1499738471870
24,1499738472722
21,1499738473415
61,1499738474316
68,1499738475063
27,1499738475716
88,1499738476261
26,1499738476683
90,1499738477070
26,1499738477360
1,1499740671700
62,1499740672539
60,1499740686178
81,1499740687094
33,1499740687631
80,1499740687852
70,1499740688005
60,1499740688127
27,1499740688257
1,1499740692989
1,1499742061850
89,1499742062494
63,1499742063018
56,1499742063445
1,1499744051219
55,1499744058742
1,1499747510878
1,1499747945010
25,1499747968599
22,1499747986379
24,1499747993422
57,1499748005153
24,1499748019889
62,1499748028645
84,1499748039980
1,1499748225914
42,1499748263857
1,1499748707528
13,1499748833447
46,1499748855981
8,1499748873200
1,1499750086901
8,1499750148115
24,1499750429992
39,1499750431194
35,1499750437893
10,1499750441076
16,1499750475611
1,1499772263947
1,1500972123134
